index,text,cleaned_text,sentiment
8031,"RT @RWSurferGirl: Thanks Fox News, you're raising @realDonaldTrump 's ratings. 🇺🇸 #GOPDebate  #GOPDebates","rt @ rwsurfergirl : thanks fox news , 're raising @ realdonaldtrump 's rating . 🇺🇸 # gopdebate # gopdebates",positive
8032,#GOPdebates Kasich will get the biggest bump in the polls of anyone tonight IMO,# gopdebates kasich get biggest bump poll anyone tonight imo,positive
8033,"RT @marissamorg: Reading #GOPDebate tweets, Id have more faith in Twitter friends running the country than any of those selects #twitternat…","rt @ marissamorg : reading # gopdebate tweet , id faith twitter friend running country selects # twitternat…",positive
8034,"RT @Apathycase: So, Trump buys politicians, used bankruptcy to his advantage, skirted laws for money, and admitted to wanting single payer …","rt @ apathycase : , trump buy politician , used bankruptcy advantage , skirted law money , admitted wanting single payer …",positive
8035,"RT @Jayedilla: Surprise surprise, @GovMikeHuckabee thinks #trans life is a ""social experiment"" #GOPDebate","rt @ jayedilla : surprise surprise , @ govmikehuckabee think # trans life `` social experiment '' # gopdebate",positive
8036,Not just Chris!-RT @RWSurferGirl: Is it just me or does anyone else want to punch Chris Wallace in the face? #GOPDebate  #GOPDebates 🇺🇸,chris ! -rt @ rwsurfergirl : anyone else want punch chris wallace face ? # gopdebate # gopdebates 🇺🇸,positive
8037,"RT @Bipartisanism: How to stay sober during #GOPDebate drinking games:

Take a shot every time someone tells the truth. http://t.co/v1gKlMd…",rt @ bipartisanism : stay sober # gopdebate drinking game : take shot every time someone tell truth . http : //t.co/v1gklmd…,positive
8038,"@randpaul says he won't be ""bought and sold,"" but he will surrender to terrorists. #GOPDebate #tcot #paulforterror","@ randpaul say wo n't `` bought sold , '' surrender terrorist . # gopdebate # tcot # paulforterror",negative
8039,RT @buickregal: Carly is fierce &amp; prepared. #GOPDebate,rt @ buickregal : carly fierce & amp ; prepared . # gopdebate,positive
8040,"No @TheDailyShow, no @StephenAtHome, no @sullydish, and @realDonaldTrump is still gaining steam after the #GOPDebate? This is cruel.","@ thedailyshow , @ stephenathome , @ sullydish , @ realdonaldtrump still gaining steam # gopdebate ? cruel .",negative
8041,"Yes, @ScottWalker *did* call the middle east 'Israel' http://t.co/YgJyRWMrUe #GOPDebate #election2016 http://t.co/GPIGA3l7yO","yes , @ scottwalker * * call middle east 'israel ' http : //t.co/ygjyrwmrue # gopdebate # election2016 http : //t.co/gpiga3l7yo",positive
8042,Republicans are turning on Fox News and it is AWESOME!!!! #GOPDebate,republican turning fox news awesome ! ! ! ! # gopdebate,positive
8043,Here is another one! Poor Frank is taken a beating😩 LOL!😂😂😂 #GOPDebate @realDonaldTrump  https://t.co/FfkuAoetTM,another one ! poor frank taken beating😩 lol ! 😂😂😂 # gopdebate @ realdonaldtrump http : //t.co/ffkuaoettm,negative
8044,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. 🇺🇸  #GOPDebate  #GOPDebates,rt @ rwsurfergirl : fox news obviously trying influence makeup republican field . 🇺🇸 # gopdebate # gopdebates,positive
8045,So true. And a lot of people agree. Should have used @FoxNews #GOPDebates @realDonaldTrump  https://t.co/QLzSVI4Otm,true . lot people agree . used @ foxnews # gopdebates @ realdonaldtrump http : //t.co/qlzsvi4otm,positive
8046,"""Sanitized sound bites and and bumper sticker rhetoric"" -Carly Fiorina #GOPDebates",`` sanitized sound bite bumper sticker rhetoric '' -carly fiorina # gopdebates,positive
8047,An assassination attempt  ...now GOP has to deal w/ th consequences #GOPDebate #GOPDebates,assassination attempt ... gop deal w/ th consequence # gopdebate # gopdebates,negative
8048,"RT @ChrisChristie: I will make no apologies for protecting the safety of the American people. #TellingItLikeItIs #GOPDebate
https://t.co/Gv…",rt @ chrischristie : make apology protecting safety american people . # tellingitlikeitis # gopdebate http : //t.co/gv…,positive
8049,GOP Debate News - Trump Shocks GOP Faithful - http://t.co/TdLF7jC3Ig -#GOPDebate #DonaldTrump http://t.co/iu9iBu36zy,gop debate news - trump shock gop faithful - http : //t.co/tdlf7jc3ig - # gopdebate # donaldtrump http : //t.co/iu9ibu36zy,positive
8050,"RT @LeaSavoy: Overall view on #GOPDebates...

""I stayed home from work for this?""

My candidate choice has not changed 1 iota.

#CruzCrew",rt @ leasavoy : overall view # gopdebates ... '' stayed home work ? '' candidate choice changed 1 iota . # cruzcrew,positive
8051,"#GOPDebate 2016 #teamdrbencarson @RealBenCarson  WOW! Brilliant, Cool, Calm &amp; Collected.#empowering","# gopdebate 2016 # teamdrbencarson @ realbencarson wow ! brilliant , cool , calm & amp ; collected. # empowering",positive
8052,Not interested in what @megynkelly has to say - way too interested in promoting herself! #Trump2016 #GOPDebate  https://t.co/Qo71twp8fn,interested @ megynkelly say - way interested promoting ! # trump2016 # gopdebate http : //t.co/qo71twp8fn,positive
8053,@marcorubio was the clear winner last night. @JohnKasich was polished as well #GOPDebate  https://t.co/d1Amg1fwiW,@ marcorubio clear winner last night . @ johnkasich polished well # gopdebate http : //t.co/d1amg1fwiw,positive
8054,RT @RWSurferGirl: Ask Trump a legitimate question. Look at Wallace's face when Trump nails it. 🇺🇸 #GOPDebate  #GOPDebates,rt @ rwsurfergirl : ask trump legitimate question . look wallace 's face trump nail . 🇺🇸 # gopdebate # gopdebates,positive
8055,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. 🇺🇸  #GOPDebate  #GOPDebates,rt @ rwsurfergirl : fox news obviously trying influence makeup republican field . 🇺🇸 # gopdebate # gopdebates,positive
8056,#GOPDebate: Ted Cruz’s Precious Daughters Steal The Show: There were certainly some “did they really just say ... http://t.co/jzlh4Lrzh4,# gopdebate : ted cruz ’ precious daughter steal show : certainly “ really say ... http : //t.co/jzlh4lrzh4,positive
8057,"RT @RWSurferGirl: I think Cruz and Trump need to band together and expose this set up job, and get rid of Bush and Rubio, 🇺🇸 #GOPDebate  #G…","rt @ rwsurfergirl : think cruz trump need band together expose set job , get rid bush rubio , 🇺🇸 # gopdebate # g…",negative
8058,"RT @TananariveDue: As @ShaunKing pointed out, #GOPDebate had a huge audience of POC ready to learn. What we learned was mostly just scary. …","rt @ tananarivedue : @ shaunking pointed , # gopdebate huge audience poc ready learn . learned mostly scary . …",positive
8059,"Trump did fine in the #GOPDebate. Not spectacular, but good enough. It's in the post-debate he's killing himself.","trump fine # gopdebate . spectacular , good enough . 's post-debate 's killing .",negative
8060,So unclear if I just watched a church convention or a political debate. #GOPDebates,unclear watched church convention political debate . # gopdebates,negative
8061,"#GOPDebate: Meet Scott Walker’s Paranoid, Insurrectionist Adviser On Police Violence Against African... http://t.co/0QHLjkfnGg","# gopdebate : meet scott walker ’ paranoid , insurrectionist adviser police violence african ... http : //t.co/0qhljkfngg",negative
8062,"#GOPDebate proves the GOP has an impressive pile of shit for voters.
@OnPointRadio @McCormackJohn",# gopdebate prof gop impressive pile shit voter . @ onpointradio @ mccormackjohn,negative
8063,"RT @AuditTheMedia: You could've asked 20 questions to the entire field in 100 minutes, #GOPDebate, instead you struggled to get an average …","rt @ auditthemedia : could 've asked 20 question entire field 100 minute , # gopdebate , instead struggled get average …",negative
8064,RT @fieldnegro: The happiest person in America today after watching those debates is HRC. #GOPDebates.,rt @ fieldnegro : happiest person america today watching debate hrc . # gopdebates .,positive
8065,RT @RWSurferGirl: So @megynkelly posed for adult pictures.should we bring that up? #GOPDebate  #GOPDebates,rt @ rwsurfergirl : @ megynkelly posed adult pictures.should bring ? # gopdebate # gopdebates,positive
8066,EXCELLENT .@michellemalkin WOW #StopCommonCore #CommonCoreNews @AliceLinahan #homeshool #TCOT #CCOT http://t.co/E8uWGy4cHf #GOPDebate #Iowa,excellent . @ michellemalkin wow # stopcommoncore # commoncorenews @ alicelinahan # homeshool # tcot # ccot http : //t.co/e8uwgy4chf # gopdebate # iowa,positive
8067,RT @RWSurferGirl: I need to order another green apple martini to process what the hell just happened. 🇺🇸 #GOPDebate  #GOPDebates,rt @ rwsurfergirl : need order another green apple martini process hell happened . 🇺🇸 # gopdebate # gopdebates,negative
8068,"The skin doesnt make them who they are, the hair doesnt make them who they are, but sexual orientation - totally #GOPDebates","skin doesnt make , hair doesnt make , sexual orientation - totally # gopdebates",positive
8069,RT @heidimachen66: Has democracy ever been more for sale than w/ a GOP debate only accessible to those who pay for cable TV? #GOPDebate,rt @ heidimachen66 : democracy ever sale w/ gop debate accessible pay cable tv ? # gopdebate,negative
8070,RT @jfradioshow: I wonder if @ChrisChristie wanted cheese with his w(h)ine. He just whined all night long like a big fat baby-@curtisellis …,rt @ jfradioshow : wonder @ chrischristie wanted cheese w ( h ) ine . whined night long like big fat baby- @ curtisellis …,positive
8071,RT @AmyMek: How pathetic &amp; transparent -&gt;.@FrankLuntz goes right after @realDonaldTrump &amp; is doing his best to push Rhinos! #GOPDebate,rt @ amymek : pathetic & amp ; transparent - & gt ; . @ frankluntz go right @ realdonaldtrump & amp ; best push rhino ! # gopdebate,positive
8072,@sallykohn These Republican Christians should know Jesus doesn't approve of lying or needless wars or ignoring the poor. #GOPDebates,@ sallykohn republican christian know jesus n't approve lying needle war ignoring poor . # gopdebates,negative
8073,Early numbers suggest record audience for first #GOPDebate #Walker16 http://t.co/w96zq1aRUH via @CNNMoney,early number suggest record audience first # gopdebate # walker16 http : //t.co/w96zq1aruh via @ cnnmoney,positive
8074,"RT @MichelleHux: #GOPDebate mod: would you really let a mother die rather than get an abortion?

Scott Walker: yes &amp; i defunded planned par…",rt @ michellehux : # gopdebate mod : would really let mother die rather get abortion ? scott walker : yes & amp ; defunded planned par…,negative
8075,"I can't help but think Dr. Carson has been hoping his ""Gifted Hands"" can make a way for his flailing mouth. #GOPDebates",ca n't help think dr. carson hoping `` gifted hand '' make way flailing mouth . # gopdebates,positive
8076,RT @DLoesch: Trump says his ability to buy politicians is “an example of a broken system.” #GOPDebate,rt @ dloesch : trump say ability buy politician “ example broken system. ” # gopdebate,negative
8077,Do you guys here that? It's Hillary Clinton's cackle. #GOPDebates,guy ? 's hillary clinton 's cackle . # gopdebates,positive
8078,RT @feministabulous: My feelings about Trump after #GOPDebate: http://t.co/bKuz2OiamE,rt @ feministabulous : feeling trump # gopdebate : http : //t.co/bkuz2oiame,positive
8079,"THINGS I LEARNED WATCHING THE #GOPDebate:  
You’d never know but I do not watch Fox News -I liked Meagan Kelly.  she is smart, quick &amp; witty","thing learned watching # gopdebate : ’ never know watch fox news -i liked meagan kelly . smart , quick & amp ; witty",positive
8080,RT @tonibirdsong: Oh @RealBenCarson you are brilliant &amp; I love you but please drink a few Red Bulls before the next debate. #GOPdebates 🇺🇸,rt @ tonibirdsong : oh @ realbencarson brilliant & amp ; love please drink red bull next debate . # gopdebates 🇺🇸,positive
8081,We need to put someone to debate against HRC like @marcorubio. -@JedediahBila on #outnumbered #StudentsForRubio #GOPDebate,need put someone debate hrc like @ marcorubio . - @ jedediahbila # outnumbered # studentsforrubio # gopdebate,positive
8082,"RT @SupermanHotMale: Dear fox news moderator, you forgot to say chinese hacking started under the Bush Admin... #GopDebates","rt @ supermanhotmale : dear fox news moderator , forgot say chinese hacking started bush admin ... # gopdebates",positive
8083,"Move over gents. #GOPdebate Two debates, one winner — Carly http://t.co/KueVBlsuGK via @DCExaminer","move gent . # gopdebate two debate , one winner — carly http : //t.co/kuevblsugk via @ dcexaminer",positive
8084,RT @MakinH15TORY: Lol @ Trump #GOPDebate,rt @ makinh15tory : lol @ trump # gopdebate,positive
8085,RT @RWSurferGirl: You would never know @realDonaldTrump  is the frontrunner from watching this debate. 🇺🇸 #GOPDebate  #GOPDebates,rt @ rwsurfergirl : would never know @ realdonaldtrump frontrunner watching debate . 🇺🇸 # gopdebate # gopdebates,positive
8086,"Rush on #GOPDebate: ""I have never seen this kind of public backlash against Fox News personalities since the network launched in 1997. #tcot",rush # gopdebate : `` never seen kind public backlash fox news personality since network launched 1997 . # tcot,negative
8087,RT @kwrcrow: #DrBenCarson just said he doubts #HillaryClinton will be nominee. Hope he's right. #GOPDebates,rt @ kwrcrow : # drbencarson said doubt # hillaryclinton nominee . hope 's right . # gopdebates,positive
8088,"RT @GetUpStandUp2: #BATSask which #GOPDebate will fund schools, not prisons? @berniesanders http://t.co/32eHUQDEKF","rt @ getupstandup2 : # batsask # gopdebate fund school , prison ? @ berniesanders http : //t.co/32ehuqdekf",negative
8089,"RT @JordanSekulow: Clear: @JebBush - federal government shouldn't be involved in setting education curriculum, states should do that #GOPDe…","rt @ jordansekulow : clear : @ jebbush - federal government n't involved setting education curriculum , state # gopde…",positive
8090,So were some of the biggest positive audience responses at #GOPDebate to rhetoric about actively killing people &amp;/or letting women die ?,biggest positive audience response # gopdebate rhetoric actively killing people & amp ; /or letting woman die ?,negative
8091,#Firstoff your first offs all suck! Just get to answering the questions at the #GOPdebates,# firstoff first offs suck ! get answering question # gopdebates,negative
8092,RT @RWSurferGirl: So @megynkelly posed for adult pictures.should we bring that up? #GOPDebate  #GOPDebates,rt @ rwsurfergirl : @ megynkelly posed adult pictures.should bring ? # gopdebate # gopdebates,positive
8093,"RT @ThaRightStuff: Yes goyim, communist sympathizer @chrislhayes approves of @JebBush . Plz stop being racist #GOPDebate #cuckservative htt…","rt @ tharightstuff : yes goy , communist sympathizer @ chrislhayes approves @ jebbush . plz stop racist # gopdebate # cuckservative htt…",negative
8094,"RT @HlLLARY: Oh, one more thing. Did anyone hear anything about affordable child care for working families last night in the #GOPDebate ? I…","rt @ hlllary : oh , one thing . anyone hear anything affordable child care working family last night # gopdebate ? i…",positive
8095,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. 🇺🇸  #GOPDebate  #GOPDebates,rt @ rwsurfergirl : fox news obviously trying influence makeup republican field . 🇺🇸 # gopdebate # gopdebates,positive
8096,"Here's what they think about you, Ben Carson!!!! THEY DON'T LOVE YOU!!!! #GOPDebates http://t.co/1yQzZzEDNN","'s think , ben carson ! ! ! ! n't love ! ! ! ! # gopdebates http : //t.co/1yqzzzednn",negative
8097,"RT @LindaSuhler: Jeb Stands By ""Act of Love""; Comments and Earned Legal Status [BOO]
#NoAmnesty
http://t.co/hImScrVikr
#GOPDebates",rt @ lindasuhler : jeb stand `` act love '' ; comment earned legal status [ boo ] # noamnesty http : //t.co/himscrvikr # gopdebates,positive
8098,"Leaders make tax-payers fund @Ppact even when it's against their beliefs, but Trump can't call a person a disgusting animal. #GOPDebate #PC","leader make tax-payers fund @ ppact even 's belief , trump ca n't call person disgusting animal . # gopdebate # pc",positive
8099,"Big hit of the #GOPDebate for me? @CarlyFiorina, @RandPaul on NSA, @RealBenCarson, @MarcoRubio. and @SenTedCruz closing statements","big hit # gopdebate ? @ carlyfiorina , @ randpaul nsa , @ realbencarson , @ marcorubio . @ sentedcruz closing statement",positive
8100,BWAHAHA!! Love this #tweet! #GOPDebate #GOPDebates  https://t.co/NZiNvXFDCD,bwahaha ! ! love # tweet ! # gopdebate # gopdebates http : //t.co/nzinvxfdcd,positive
8101,"hadiyah: Bruh, Ben Carson is boring AF! He need to punch Trump in the face so he can get in the game. #GOPDebate","hadiyah : bruh , ben carson boring af ! need punch trump face get game . # gopdebate",negative
8102,RT @jjauthor: @megynkelly @is the star of herself! FoxNews @megynkelly @BretBaier #GOPDebate,rt @ jjauthor : @ megynkelly @ star ! foxnews @ megynkelly @ bretbaier # gopdebate,positive
8103,"@OnBakerStreet @FrankLuntz @maxwelltani
I dont watch debates with intent of letting moderators direct my vote. Total sham. #GOPDebate",@ onbakerstreet @ frankluntz @ maxwelltani dont watch debate intent letting moderator direct vote . total sham . # gopdebate,positive
8104,RT @ProfessorRobo: When did pledging allegiance to party at #GOPDebate bcome standard practice? ...I don’t recall RonPaul being asked tht q…,rt @ professorrobo : pledging allegiance party # gopdebate bcome standard practice ? ... ’ recall ronpaul asked tht q…,positive
8105,"RT @LuthorCEO: #GOPDebate Winner: Me, because I didn't make an ass of myself by showing up to questioned by dumbasses. #LUTHOR2016","rt @ luthorceo : # gopdebate winner : , n't make as showing questioned dumbass . # luthor2016",negative
8106,"RT @Pie_SocialMedia: At the #GOPDebate , #walker16 #scottwalker never gained momentum. Dead last. #epicfail #collegedropout #fraud https://…","rt @ pie_socialmedia : # gopdebate , # walker16 # scottwalker never gained momentum . dead last . # epicfail # collegedropout # fraud http : //…",negative
8107,RT @RWSurferGirl: After @GovChristie hugged Obama he doesn't deserve to be on the stage tonight. 🇺🇸 #GOPDebates  #GOPDebates,rt @ rwsurfergirl : @ govchristie hugged obama n't deserve stage tonight . 🇺🇸 # gopdebates # gopdebates,positive
8108,Props to the @foxnews anchors for asking the tough questions -- as usual -- in the debate last night. #GOPDebate,prop @ foxnews anchor asking tough question -- usual -- debate last night . # gopdebate,negative
8109,"RT @RWSurferGirl: @tedcruz and @realDonaldTrump need to take control of this debate,  they can do it, 🇺🇸 #GOPDebate  #GOPDebates","rt @ rwsurfergirl : @ tedcruz @ realdonaldtrump need take control debate , , 🇺🇸 # gopdebate # gopdebates",positive
8110,"RT @jsc1835: No, Scott Walker, you didn't ""lash"" out at the protesters in Wisconsin... You just had them arrested.  #GOPDebates","rt @ jsc1835 : , scott walker , n't `` lash '' protester wisconsin ... arrested . # gopdebates",negative
8111,People really need to do their research on Carly Fiorina. She was extremely impressive in the #GOPDebate yesterday. @CarlyFiorina,people really need research carly fiorina . extremely impressive # gopdebate yesterday . @ carlyfiorina,positive
8112,"""Dump The Duncald"" #Dunce #Donald #GOPDebate #Decision2016",`` dump duncald '' # dunce # donald # gopdebate # decision2016,negative
8113,RT @danamlancaster: Big fail last night for the digital arm of @FoxNews. http://t.co/k2c6axrECL #GOPDebate,rt @ danamlancaster : big fail last night digital arm @ foxnews . http : //t.co/k2c6axrecl # gopdebate,negative
8114,"RT @ShunStrickland: When people tell you who they are, believe them. #GOPDebate","rt @ shunstrickland : people tell , believe . # gopdebate",positive
8115,"A guy from Queens calling somebody ""low-class"" is curious. #GOPDebate",guy queen calling somebody `` low-class '' curious . # gopdebate,positive
8116,16% of United States homes with TV sets tuned in to #GOPDebate. Wow. http://t.co/TRs8vMWJYg,16 % united state home tv set tuned # gopdebate . wow . http : //t.co/trs8vmwjyg,positive
8117,RT @b140_tweet: Rip  #AnnRichards... She has it right.. We needed her for President #GOPDEBATES #STOPRUSH http://t.co/uw5AXjzMXC,rt @ b140_tweet : rip # annrichards ... right .. needed president # gopdebates # stoprush http : //t.co/uw5axjzmxc,positive
8118,@realDonaldTrump pretty much eliminates the need for political satire. The man's a walking @TheOnion article. #GOPDebate,@ realdonaldtrump pretty much eliminates need political satire . man 's walking @ theonion article . # gopdebate,positive
8119,Hard to take sides in the Donald Trump vs. Megyn Kelly dilemma when both are equally deplorable. #GOPDebate,hard take side donald trump vs. megyn kelly dilemma equally deplorable . # gopdebate,negative
8120,"RT @rebeccawatson: Trump: I had the common sense to leave Atlantic City

Most of us have the common sense to never go there in the first pl…",rt @ rebeccawatson : trump : common sense leave atlantic city u common sense never go first pl…,negative
8121,"RT @RWSurferGirl: It is very disappointing that Fox News is not conducting a ""Fair &amp; Balanced"" Debate. 🇺🇸 #GOPDebate  #GOPDebates",rt @ rwsurfergirl : disappointing fox news conducting `` fair & amp ; balanced '' debate . 🇺🇸 # gopdebate # gopdebates,negative
8122,When the #GOPDebates pulls out the double candidate box you KNOW shit is about to get real dirty.   And awesome.,# gopdebates pull double candidate box know shit get real dirty . awesome .,negative
8123,"RT @RWSurferGirl: I'd really like to see how long each candidate was given to speak.  It didn't seem ""Fair &amp; Balanced"" at all. 🇺🇸 #GOPDebat…",rt @ rwsurfergirl : 'd really like see long candidate given speak . n't seem `` fair & amp ; balanced '' . 🇺🇸 # gopdebat…,positive
8124,RT @SereDoc: So Trump uses the GOP stage as he wants but reserves the right to destroy GOP chances in 2016 at any time? Great GOP leadershi…,rt @ seredoc : trump us gop stage want reserve right destroy gop chance 2016 time ? great gop leadershi…,positive
8125,.@FrankLuntz analysis says @GovMikeHuckabee won the debate —&gt; http://t.co/QUwoCLfs8q #ImWithHuck #GOPDebate,. @ frankluntz analysis say @ govmikehuckabee debate — & gt ; http : //t.co/quwoclfs8q # imwithhuck # gopdebate,positive
8126,"""about the stupidity of everyone not named Trump. And so it went"" http://t.co/rInB8kwt6O #GOPDebate #pjnet #WakeUpAmerica",`` stupidity everyone named trump . went '' http : //t.co/rinb8kwt6o # gopdebate # pjnet # wakeupamerica,negative
8127,The best part about the #GOPdebate? The #memes...duhhhh http://t.co/7UUnFkBfLJ via @houstonchron,best part # gopdebate ? # meme ... duhhhh http : //t.co/7uunfkbflj via @ houstonchron,positive
8128,RT @Ryan_N_Wiggins: Trump short: Casinos fail. I'm proud I ran a casino into the ground. Trust me to make equally smart decisions for the c…,rt @ ryan_n_wiggins : trump short : casino fail . 'm proud ran casino ground . trust make equally smart decision c…,positive
8129,"#FoxNews gives #Trump, er Fox, most speaking time during first debate http://t.co/UzBf58Fg2f via @American_Mirror &amp; @kyleolson4 #GOPDebate","# foxnews give # trump , er fox , speaking time first debate http : //t.co/uzbf58fg2f via @ american_mirror & amp ; @ kyleolson4 # gopdebate",positive
8130,After the #GOPDebate all of the promises being made by startups at this tech conference seem quite reasonable.,# gopdebate promise made startup tech conference seem quite reasonable .,positive
8131,"RT @theskysgoneout: To non-Christians, #GOPDebate ""God"" questions underline how little anyone really cares about religious minorities. Chri…","rt @ theskysgoneout : non-christians , # gopdebate `` god '' question underline little anyone really care religious minority . chri…",positive
8132,FOX News won't admit who the Republican leader is right now I mean @realDonaldTrump only has a double-digit lead 🇺🇸 #GOPDebate  #GOPDebates,fox news wo n't admit republican leader right mean @ realdonaldtrump double-digit lead 🇺🇸 # gopdebate # gopdebates,negative
